accusé 52531,NOUN
servent 52279,VERB,INFLECTED_FORM,SUBJ
portail 52171,NOUN,HAS_EXAMPLE
urbaine 52050,ADJECTIVE
morales 51742,ADJECTIVE
couché 51670,ADJECTIVE
graines 51722,NOUN,PLURAL
baisers 51568,NOUN,PLURAL
sentant 51600,PARTICIPLE
suivait 51561,VERB,3PS,INFLECTED_FORM
inscrit 51489,PARTICIPLE
partant 51488,ADJECTIVE,HAS_EXAMPLE
privés 51393,ADJECTIVE
réside 51378,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
soigner 51092,VERB
grecque 51036,ADJECTIVE
dépôt 51007,NOUN,HAS_EXAMPLE
balance 50914,NOUN
menaces 50930,NOUN,PLURAL
orgueil 50859,NOUN,HAS_EXAMPLE
exposé 50849,ADJECTIVE
pourrai 50788,VERB
couches 50743,NOUN,PLURAL
fameuse 50763,ADJECTIVE
support 50653,NOUN
bizarre 50405,ADJECTIVE,HAS_EXAMPLE
ordonna 50376,VERB,3PS,INFLECTED_FORM
coutume 50286,NOUN
voulons 50261,VERB,FORM_OF,IMP,INFLECTED_FORM
cuisson 50310,NOUN
détour 50191,NOUN
armées 50218,NOUN,PLURAL
rappela 50164,VERB,3PS,INFLECTED_FORM
descend 50077,VERB,3PS,INFLECTED_FORM
suicide 49990,NOUN
souffla 50075,VERB,3PS,INFLECTED_FORM
frisson 49970,NOUN
banques 49962,NOUN,PLURAL
blessé 49890,ADJECTIVE
emmener 49616,VERB
poignet 49802,NOUN
insiste 49486,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
indices 49437,NOUN,PLURAL
aperçu 49375,INTERJECTION
million 49270,NUMERAL
restés 49342,PARTICIPLE
sorties 49100,NOUN,PLURAL
placée 49053,PARTICIPLE
ouvrant 49108,PARTICIPLE
éclata 49032,VERB,3PS,INFLECTED_FORM
soutenu 48896,ADJECTIVE,HAS_EXAMPLE
battant 48797,ADJECTIVE,HAS_EXAMPLE
absurde 48471,ADJECTIVE
grosses 48501,ADJECTIVE
exprime 48460,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
rentré 48266,PARTICIPLE
reviens 48163,VERB,FORM_OF,IMP,INFLECTED_FORM
savoirs 48092,NOUN,PLURAL
tombait 48104,VERB,3PS,INFLECTED_FORM
gâteau 47854,NOUN
